observ,barrio,calle,altura,institu1,institu3,distanci,edpub,estserv,banco,totrob,mes,totrob2
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,.25,5,.25
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,1,6,1
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,0,7,0
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,.25,8,.25
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,0,9,0
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,0,10,0
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,.25,11,.25
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,0,12,0
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,0,72,0
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,0,73,0
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,0,4,0
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,1.25,5,1.25
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,.5,6,.5
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,.25,7,.25
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,0,8,0
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,0,9,0
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,.25,10,.25
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,.5,11,.5
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,0,12,0
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,0,72,0
29,Belgrano,F.D.Roosevelt,a2300,0,0,2,0,0,0,0,73,0
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,.25,4,.25
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,.25,5,.25
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,.5,6,.5
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,.25,7,.25
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,0,8,0
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,1.25,9,1.25
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,1.25,10,1.25
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,.25,11,.25
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,0,12,0
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,0,72,0
30,Belgrano,F.D.Roosevelt,a2400,0,1,1,0,0,0,0,73,0
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,1.25,4,1.25
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,.25,5,.25
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,0,6,0
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,0,7,0
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,0,8,0
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,.25,9,.25
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,0,10,0
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,0,11,0
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,0,12,0
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,0,72,0
31,Belgrano,F.D.Roosevelt,a2500,0,1,1,0,0,0,0,73,0
32,Belgrano,F.D.Roosevelt,a2600,0,0,2,0,0,0,0,4,0
32,Belgrano,F.D.Roosevelt,a2600,0,0,2,0,0,0,0,5,0
